afton|evening,dancing tonight 
aga|corporal punishment,beating given for &amp;quot;disciplinary&amp;quot; or &amp;quot;teaching&amp;quot; purposes 
aga|chastise,beat 
AGB|AGB,&amp;quot;Financial compensation paid to a worker in the private sector who loses his or her job provided that such compensation is payable under the terms of a collective wage agreement.&amp;quot; 
agent|agent,spy 
agent|agent,general (sole, principal) agent (representative) 
agera|act as,act 
agera|act,act independently 
agg|grudge,have a grudge against someone, bear malice to someone 
aggregat|unit,aggregate 
aggression|aggression,latent aggressions 
aggressiv|aggressive,belligerent 
agitera|agitate, arouse public opinion 
agn|bait,bait the hook 
agnar|husks,the husks of grain separated during threshing 
agronom|agronomist,graduate in agricultural sciences 
AGS|AGS,&amp;quot;Insurance scheme supplementing the public health insurance scheme.&amp;quot; 
aha-upplevelse|aha experience,sudden insight or understanding 
aids|AIDS,a virus disease that breaks down the body&amp;#39;s immunological defence system 
A-inkomst|income taxable at source,income from employment or business undertaking 
aj|ow!, ouch!, oh! 
ajournera|adjourn,the meeting was adjourned until the following day 
ajö|bye-bye!,goodbye 
akademi|academy,Åbo Academi 
akademiker|academic,university graduate 
akademisk|academic,university studies, studies at university level 
A-kassa|unemployment benefit society (fund),&amp;quot;Pays benefits to members who have become unemployed. Membership, which is often associated with membership in a trade union, is voluntary.&amp;quot; 
akilles:häl|Achilles&amp;#39; heel,a vulnerable part of an otherwise strong whole 
akne|acne 
akrobat|acrobat,acrobatic 
akryl|acrylic,a synthetic material (used for making acrylic fibre, etc.); also an artist&amp;#39;s paint based on acrylic resin 
akt|act,ceremony 
akt|act,the hero dies in the last act 
akt|document,dossier, personal file 
akt|attention,take the opportunity 
akta|guard,protect 
akta sig|be careful,take care 
akter|stern,from stem to stern 
akter:seglad|left behind (astern),Sweden&amp;#39;s motor industry is in danger of being left behind (put in the shade) by Germany and Japan 
aktie|share, (stock [US]) 
aktie:bolag|(corporation [US]),joint-stock company 
aktion|drive,campaign 
aktiv|active,play an active role 
aktivera|activate,make active 
aktivist|activist,person active in the peace movement, peace activist 
aktivitet|activity,the local authorities are planning a number of activities for the summer 
aktivitetsersättning| 
aktning|respect,esteem 
aktris|actress 
aktsam|cautious,careful 
aktualisera|update,bring to the fore 
aktualitet|current (immediate) interest (importance),topicality 
aktuell|topical,of current (immediate) interest (importance) 
Aktuellt|Aktuellt, the News 
aktör|player,operator 
akupunktur|acupuncture,a Chinese method for inducing anaesthesia and treating disease by inserting needles through the skin at determined points 
akustik|acoustics,the science of sound; the properties of a room, etc, governing the quality of sound 
akustisk|acoustic,acoustic guitar (&amp;quot;unamplified guitar&amp;quot;) 
akut|immediate,acute 
akuten|&amp;quot;casualties&amp;quot;, emergency ward 
akut:mottagning|emergency (casualty) ward (department),hospital ward for patients requiring immediate treatment, e.g. accident victims 
akvarell|watercolour (painting),a picture painted with watercolours 
akvarium|aquarium,aquarium fish 
al|alder,any broad-leaved shrub or tree of the genus Alnus 
alabaster|alabaster,alabaster vase 
aladåb|aspic,a cold dish of meat, fish or vegetables in aspic, galantine 
alarmerande|alarming,frightening 
alban|Albanian,a person from Albania 
Albanien| 
albansk|Albanian,of or from Albania, pertaining to Albania 
albanska| 
albanska| 
albino|albino,a human being or animal lacking pigment in its hair, skin and eyes 
album|album,album, long-playing record (or set of records) 
aldrig|never,I never go to the cinema (the movies) 
alert|alert,be on the alert (&amp;quot;be watchful&amp;quot;) 
alfabet|alphabet,the set of characters used to write a language: &amp;quot;a, b, c ...&amp;quot; 
alfabetisera|teach literacy,make (someone) literate 
alfabetisera|alphabetise,alphabetisation 
alfabetisk|alphabetical,in alphabetical order 
alg|alga,a type of simple aquatic plant 
algerier|Algerian,a person from Algeria 
algerisk|Algerian,of or from Algeria, pertaining to Algeria 
alias|alias,Kristina, alias Pyret 
alibi|alibi,evidence submitted to show that an accused is not guilty as charged since he was elsewhere at the time when the crime was committed 
alienation|alienation,a feeling of isolation or estrangement 
alienerad|alienated,experiencing alienation 
alika|jackdaw,drunk as a lord 
alkemi|alchemy,alchemist 
alkohol|alcohol,drink (alcohol, spirits) 
alkoholism|alcoholism,abuse of or addiction to alcoholic drinks 
alkoholist|alcoholic,a person addicted to alcoholic drinks, inebriate 
alkohol:poliklinik|alcohol addiction clinic,&amp;quot;The treatment given is primarily medical, although counselling services are also available.&amp;quot; 
alko:test|breathalyser test,a test designed to show whether a motorist (or other person) has been drinking 
alkov|alcove,bedstead recess 
all|all,all the bread 
all|all,everyone who wants to can leave 
all right|all right 
all round|all round 
alldaglig|ordinary,everyday 
